id	company_id	date	name	type	year	created_at
1	NULL	2026-01-01	Año Nuevo	national	2026	2026-02-17 11:54:12
2	NULL	2026-01-06	Epifanía del Señor	national	2026	2026-02-17 11:54:12
3	NULL	2026-04-02	Jueves Santo	national	2026	2026-02-17 11:54:12
4	NULL	2026-04-03	Viernes Santo	national	2026	2026-02-17 11:54:12
5	NULL	2026-05-01	Día del Trabajador	national	2026	2026-02-17 11:54:12
6	NULL	2026-08-15	Asunción de la Virgen	national	2026	2026-02-17 11:54:12
7	NULL	2026-10-12	Fiesta Nacional	national	2026	2026-02-17 11:54:12
8	NULL	2026-12-08	Inmaculada Concepción	national	2026	2026-02-17 11:54:12
9	NULL	2026-12-25	Natividad del Señor	national	2026	2026-02-17 11:54:12
10	NULL	2026-04-06	Lunes de Pascua	regional	2026	2026-02-17 11:54:12
11	NULL	2026-06-04	Corpus Christi	regional	2026	2026-02-17 11:54:12
12	NULL	2026-11-02	Todos los Santos (traslado)	national	2026	2026-02-17 11:54:12
13	NULL	2026-05-25	Virgen de Alarcos	local	2026	2026-02-17 11:54:12
14	NULL	2026-08-22	Octava Virgen del Prado	local	2026	2026-02-17 11:54:12
15	1	2026-12-24	Nochebuena	company	2026	2026-02-17 11:54:12
16	1	2026-12-31	Nochevieja	company	2026	2026-02-17 11:54:12
